title,organization,opportunity_type,category,country,location,work_mode,compensation,posted_date,deadline,source,source_url,summary
"Hebrew Freelance Translator & Copy Editor (Product, Support & Marketing Content)",Welo Global,Remote work opportunities,Health,Remote,Anywhere,Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/149580-hebrew-freelance-translator-copy-editor-product-support-marketing-content,"Hebrew Freelance Translator & Copy Editor (Product, Support & Marketing Content) is an opportunity with Welo Global. <div> <p><strong>About Welo Global</strong> </p> <p>Welo Global is a leader in multilingual AI, technology, and content solutions serving over 2,000 clients in 300 languages. The company combines globally scaled multilingual infrastructure, including a network of over 500,000 linguists and domain experts..."
"Fusion Sr. Sales Specialist, Territory",Autodesk,Remote work opportunities,Business & Finance,South Korea,"APAC, South Korea",Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/146184-fusion-sr-sales-specialist-territory,"Fusion Sr. Sales Specialist, Territory is an opportunity with Autodesk. <p><b>Job Requisition ID #</b></p><p>26WD98156</p><p><b>Position Overview</b></p><p>Fusion is one of Autodesk’s fastest-growing businesses, and we’re targeting a new class of high-potential manufacturing accounts - companies that may not yet be major Autodesk customers but have significant upside for Fusion adoption. We’re hiring a Sr. Sales..."
"Manager, Sales Administration",BCD Travel,Tenders / Consultancies,Information Technology,United Kingdom,"Europe, UK",Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/149501-manager-sales-administration,"Manager, Sales Administration is an opportunity with BCD Travel. <p><strong>Start your journey with BCD: Grow, connect, collaborate and celebrate with our global team</strong></p><p> </p><p><strong>Manager, Sales Administration (Remote)</strong></p><p><em>Full time, United Kingdom, Germany, Spain, France, Netherlands</em></p><p> </p><p>In this role, you will act as a reliable point of support for day-to-day needs for the..."
Customer Success Manager,Cision,Remote work opportunities,Business & Finance,United Kingdom,UK,Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/149212-customer-success-manager-4,"Customer Success Manager is an opportunity with Cision. <div><strong>At Cision, we believe in empowering every individual to make an impact. Here, your voice is heard, your ideas are valued, and your unique perspective fuels our collective success. As part of our global team, you'll thrive in an environment that champions curiosity, collaboration, and innovation, all while making meaningful contributions to the brands we..."
Customer Success Manager,WorkWave,Remote work opportunities,Information Technology,United Kingdom,UK,Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/147124-customer-success-manager-39,"Customer Success Manager is an opportunity with WorkWave. <p>At WorkWave, we build innovative software and fintech solutions for the people who keep our world safe, clean, and beautiful, from pest control to lawn care, commercial cleaning to security services. With over 8,000 customers around the globe, our platform helps these hardworking service professionals run and grow their businesses from end to end.</p><p>We don’t..."
Embedded Linux Field Engineering Manager (Americas only),Canonical Ltd.,Remote work opportunities,Information Technology,United States,"LATAM, Canada, USA",Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/149559-embedded-linux-field-engineering-manager-americas-only,"Embedded Linux Field Engineering Manager (Americas only) is an opportunity with Canonical Ltd.. <p>Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading..."
IoT Solutions Architecture Manager (Americas only),Canonical Ltd.,Remote work opportunities,Information Technology,United States,"LATAM, Canada, USA",Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/149579-iot-solutions-architecture-manager-americas-only,"IoT Solutions Architecture Manager (Americas only) is an opportunity with Canonical Ltd.. <p>Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public..."
"Analyst Customer Success, Measurement US",Cint,Remote work opportunities,Information Technology,United States,USA,Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/147136-analyst-customer-success-measurement-us,"Analyst Customer Success, Measurement US is an opportunity with Cint. <h2>Company Description</h2><p><strong>Who We Are</strong></p><p>Cint is a pioneer in research technology (ResTech). Our customers use the Cint platform to post questions and get answers from real people to build business strategies, confidently publish research, accurately measure the impact of digital advertising, and more. The Cint platform is built..."
Chief of Staff - CTO,Coursera,Remote work opportunities,Education,United States,USA,Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/142747-chief-of-staff-cto,"Chief of Staff - CTO is an opportunity with Coursera. <p><strong>About Coursera</strong></p><p>Coursera was launched in 2012 by Andrew Ng and Daphne Koller with a mission to provide universal access to world-class learning. Today, it is one of the largest online learning platforms in the world, with 205 million registered learners as of March 31, 2026. Coursera partners with over 375 leading university and industry..."
VP of Engineering,Crystal Intelligence,Remote work opportunities,Information Technology,United States,USA,Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/144256-vp-of-engineering,"VP of Engineering is an opportunity with Crystal Intelligence. <p><strong>About Crystal</strong></p><p>Crystal Intelligence is a blockchain analytics and compliance intelligence company serving exchanges, financial institutions, regulators, and law enforcement across 100+ blockchains. Our customers depend on us for low-latency, high-availability risk and transaction intelligence that powers operational..."
Software Engineer - Data,Dune,Remote work opportunities,Information Technology,United States,"Europe, USA",Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/149499-software-engineer-data,"Software Engineer - Data is an opportunity with Dune. <p><strong>About Dune</strong></p><p>Dune is on a mission to make crypto data accessible. We’re a collaborative multi-chain analytics platform used by thousands of developers, analysts, & investors to understand the on-chain world and the frontiers of finance. We’re a team of ~60 employees, working together across Europe and eastern US timezones ️. We believe in our..."
Director Core Systems Strategies - QNXT/NetworX,Molina Healthcare,Remote work opportunities,Health,United States,USA,Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/144247-director-core-systems-strategies-qnxt-networx,"Director Core Systems Strategies - QNXT/NetworX is an opportunity with Molina Healthcare. <p>JOB DESCRIPTION Job Summary </p><p>Leads and directs team responsible for configuration activities including accurate and timely implementation and maintenance of critical information on claims databases, validation of data stored on databases, and adherence to health plan business and system requirements as it pertains to..."
Marketing Specialist,Mozilla,Remote work opportunities,Information Technology,United States,USA,Remote,Not specified,2026-07-21,,Jobicy,https://jobicy.com/jobs/145556-marketing-specialist-2,"Marketing Specialist is an opportunity with Mozilla. <p><strong>Why Thunderbird?</strong></p><p>Thunderbird is one of the world’s most trusted open-source email applications, empowering more than 20 million people globally. At MZLA, the team behind Thunderbird, we build privacy-respecting communication tools that help people manage their digital lives while staying in control of their data.</p><p>We are open source by..."
Assistant Manager - EHS,DIAGEO India,Jobs,Health,India,"Aurangabad, Maharashtra, India",On-site,Not specified,2026-07-21,,LinkedIn social search,https://in.linkedin.com/jobs/view/assistant-manager-ehs-at-diageo-india-4443358349,"Assistant Manager - EHS is an opportunity with DIAGEO India. Environment, health and safety assistant manager role requiring communication, presentation, multitasking, and stakeholder engagement skills."
Customer Service Manager,Diageo,Jobs,Business & Finance,Indonesia,"Jakarta, Indonesia",On-site,Not specified,2026-07-21,,LinkedIn social search,https://id.linkedin.com/jobs/view/customer-service-manager-at-diageo-4443350530,Customer Service Manager is an opportunity with Diageo. Customer service management role for Diageo in Jakarta with regular employment status and business operations responsibilities.
Associate Digital Designer,HOPE International,Jobs,Information Technology,United States,"Lancaster, Pennsylvania, United States",On-site,Not specified,2026-07-21,2026-07-22,LinkedIn social search,https://www.linkedin.com/jobs/view/associate-digital-designer-at-hope-international-inc-4436844755,"Associate Digital Designer is an opportunity with HOPE International. Digital design role supporting marketing, web, email, presentation, animation, and campaign assets for a mission-driven organization."
Presumptive Elig Coord,Kansas Department of Health and Environment,Jobs,Health,United States,"Finney County, Kansas, United States",On-site,Not specified,2026-07-21,2026-07-22,LinkedIn social search,https://www.linkedin.com/jobs/view/presumptive-elig-coord-at-kansas-department-of-health-and-environment-4437081216,"Presumptive Elig Coord is an opportunity with Kansas Department of Health and Environment. Eligibility coordination role with the Kansas Department of Health and Environment covering application, documentation, and state public-health programme requirements."
(DOE-014-26) State School Nurse Consultant,New Jersey Department of Education,Tenders / Consultancies,Health,United States,"Trenton, New Jersey, United States",On-site,Not specified,2026-07-21,2026-07-22,LinkedIn social search,https://www.linkedin.com/jobs/view/doe-014-26-state-school-nurse-consultant-at-new-jersey-department-of-education-4429861849,"(DOE-014-26) State School Nurse Consultant is an opportunity with New Jersey Department of Education. School nurse consultant role focused on comprehensive school health services, curricula, training, programme improvement, and liaison support."
Executive Assistant,New York Civil Liberties Union,Jobs,Operations & Logistics,United States,"New York, NY, United States",On-site,Not specified,2026-07-21,2026-07-22,LinkedIn social search -> Paylocity original posting,https://recruiting.paylocity.com/recruiting/jobs/Details/4311910/New-York-Civil-Liberties-Union-Foundation/Executive-Assistant,Executive Assistant is an opportunity with New York Civil Liberties Union. Executive Assistant role supporting administration and executive operations for the New York Civil Liberties Union.
Customer Experience Specialist,DraftKings Inc.,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-21,,RemoteOK,https://remoteOK.com/remote-jobs/remote-customer-experience-specialist-draftkings-inc-1135133,"Customer Experience Specialist is an opportunity with DraftKings Inc.. At DraftKings, AI is becoming an integral part of both our present and future, powering how work gets done today, guiding smarter decisions, and sparking bold ideas. Itâs transforming how we enhance customer experiences, streamline operations, and unlock new possibilities. Our teams are energized by innovation and readily embrace emerging technology..."
ACCENTURE,Hakatemia,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-21,,RemoteOK,https://remoteOK.com/remote-jobs/remote-accenture-hakatemia-1135136,"ACCENTURE is an opportunity with Hakatemia. ""2NS is a domestic steadily growing information security company. At the center of our operations are a passion for information security, customer satisfaction and the satisfaction of our own employees, as well as their opportunity to develop.<br><br>Our range of services is extensive and our staff are experts in the field of information security. We implement a wide variety of..."
Designer Residential,NORR,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-21,,RemoteOK,https://remoteOK.com/remote-jobs/remote-designer-residential-norr-1135165,"Designer Residential is an opportunity with NORR. NORR is a global team of 800 architects, engineers, planners, and interior designers creating design strategies and solutions that express the unique vision of every project. Driven by a common purpose with our clients and partners, we share ideas to create and innovate, bringing people, design, and technologies together to think bigger and act bolder.<br><br>Our story..."
Auxiliar de Relacionamento Cirurgias Corporativo SP,Rede D'Or,Remote work opportunities,Operations & Logistics,Remote,Remote,Remote,Not specified,2026-07-21,,RemoteOK,https://remoteOK.com/remote-jobs/remote-auxiliar-de-relacionamento-cirurgias-corporativo-sp-rede-dor-1135132,"Auxiliar de Relacionamento Cirurgias Corporativo SP is an opportunity with Rede D'Or. <strong>DescriÃ§Ã£o da vaga<br><br></strong>Se vocÃª quer trabalhar com propÃ³sito e fazer a diferenÃ§a na vida das pessoas, seu lugar pode ser aqui.<br><br>Somos uma rede que acredita no cuidado humanizado, na forÃ§a do trabalho em equipe e no desenvolvimento contÃ­nuo de seus profissionais.<br><br>Estamos em busca de profissionais para..."
"Enumerators Interviewers Note Takers - Data Collection for School Management and Early Warning System (EWS) Pilot, Tindouf, Algeria","tion for School Management and Early Warning System (EWS) Pilot, Tindouf, Algeria UNICEF - United Nations Children's Fund",Tenders / Consultancies,Education,Algeria,"Tindouf, Algeria",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593924290,"Enumerators Interviewers Note Takers - Data Collection for School Management and Early Warning System (EWS) Pilot, Tindouf, Algeria is an opportunity with tion for School Management and Early Warning System (EWS) Pilot, Tindouf, Algeria UNICEF - United Nations Children's Fund. Enumerators Interviewers Note Takers - Data Collection for School Management and Early Warning System (EWS) Pilot, Tindouf, Algeria. tion for School..."
"Intern - Drug Control and Crime Prevention, Vienna, Austria",", Austria UNODC - Office on Drugs and Crime",Internships,Education,Austria,"Vienna, Austria",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593794915,"Intern - Drug Control and Crime Prevention, Vienna, Austria is an opportunity with , Austria UNODC - Office on Drugs and Crime. Intern - Drug Control and Crime Prevention, Vienna, Austria. , Austria UNODC - Office on Drugs and Crime. nt of Political and Peacebuilding Affairs-Department of Peace Operations-Shared Structure Updated: 2026-07-21T02:02:05Z Intern - Drug Control and Crime Prevention, Vienna, Austria UNODC -..."
"Finance Assistant (and Admin), SC5, Sylhet, Sylhet Bangladesh The Peoples",Bangladesh The Peoples WFP - World Food Programme,Internships,Agriculture,Bangladesh,"Sylhet, Sylhet Bangladesh The Peoples",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784548167022,"Finance Assistant (and Admin), SC5, Sylhet, Sylhet Bangladesh The Peoples is an opportunity with Bangladesh The Peoples WFP - World Food Programme. Finance Assistant (and Admin), SC5, Sylhet, Sylhet Bangladesh The Peoples. Bangladesh The Peoples WFP - World Food Programme. 4:21Z Administrative Assistant (Roster), London IMO - International Maritime Organization Updated: 2026-07-21T07:03:07Z Finance Assistant (and Admin)..."
"Programme Associate (GFA Catchment Focal), Cox's Bazaar, Bangladesh","azaar, Bangladesh WFP - World Food Programme",Internships,Agriculture,Bangladesh,"Cox's Bazaar, Bangladesh",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784548158134,"Programme Associate (GFA Catchment Focal), Cox's Bazaar, Bangladesh is an opportunity with azaar, Bangladesh WFP - World Food Programme. Programme Associate (GFA Catchment Focal), Cox's Bazaar, Bangladesh. azaar, Bangladesh WFP - World Food Programme. istant (and Admin), SC5, Sylhet, Sylhet Bangladesh The Peoples WFP - World Food Programme Updated: 2026-07-21T06:59:49Z Programme Associate (GFA Catchment Focal), Cox's..."
"Technical Support to UAPI (Unidade Amiga da Primeira Infância) Consultant 5 months (home-based), Recife, Brazil","ra Infância) Consultant 5 months (home-based), Recife, Brazil UNICEF - United Nations Children's Fund",Tenders / Consultancies,Health,Brazil,"Recife, Brazil",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593844342,"Technical Support to UAPI (Unidade Amiga da Primeira Infância) Consultant 5 months (home-based), Recife, Brazil is an opportunity with ra Infância) Consultant 5 months (home-based), Recife, Brazil UNICEF - United Nations Children's Fund. Technical Support to UAPI (Unidade Amiga da Primeira Infância) Consultant 5 months (home-based), Recife, Brazil. ra Infância) Consultant 5 months (home-based), Recife, Brazil UNICEF -..."
"Housing Policy Specialist, Montreal, Canada",UN-Habitat - United Nations Human Settlements Programme,Internships,Communications,Canada,"Montreal, Canada",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593768479,"Housing Policy Specialist, Montreal, Canada is an opportunity with UN-Habitat - United Nations Human Settlements Programme. Housing Policy Specialist, Montreal, Canada. UN-Habitat - United Nations Human Settlements Programme. tria UNODC - Office on Drugs and Crime Updated: 2026-07-21T02:08:34Z (adsbygoogle = window.adsbygoogle || []).push({}); Housing Policy Specialist, Montreal, Canada UN-Habitat - United Nations Human..."
"Procurment Coordinator, N'Djamena, Chad",Plan International,Internships,Information Technology,Chad,"N'Djamena, Chad",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784565269539,"Procurment Coordinator, N'Djamena, Chad is an opportunity with Plan International. Procurment Coordinator, N'Djamena, Chad. Plan International. nte de Proyecto CAAOCG y Asesor/a Senior Humanitario/a, Quito, Ecuador Plan International Updated: 2026-07-21T02:33:48Z Procurment Coordinator, N'Djamena, Chad Plan International Updated: 2026-07-21T02:33:09Z HR Intern, Seoul, Republic of Korea UNHCR - United Nations High..."
"Elaboración del estudio “Una métrica para la previsión de la demanda de cuidados”, en el marco del proyecto “Economía del cuidado para el desarrollo económico sostenible con igualdad de género en Amér, Santiago, Chile","sión de la demanda de cuidados”, en el marco del proyecto “Economía del cuidado para el desarrollo económico sostenible con igualdad de género en Amér, Santiago, Chile ECLAC - Economic Commission for Latin America and the Caribbean",Internships,Humanitarian & Development,Chile,"Santiago, Chile",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593790767,"Elaboración del estudio “Una métrica para la previsión de la demanda de cuidados”, en el marco del proyecto “Economía del cuidado para el desarrollo económico sostenible con igualdad de género en Amér, Santiago, Chile is an opportunity with sión de la demanda de cuidados”, en el marco del proyecto “Economía del cuidado para el desarrollo económico sostenible con igualdad de género en Amér, Santiago, Chile ECLAC - Economic..."
"Senior Advisor, Partnerships, Beijing, China",UNOPS - United Nations Office for Project Services,Jobs,Information Technology,China,"Beijing, China",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593661981,"Senior Advisor, Partnerships, Beijing, China is an opportunity with UNOPS - United Nations Office for Project Services. Senior Advisor, Partnerships, Beijing, China. UNOPS - United Nations Office for Project Services. UNFPA - United Nations Population Fund Updated: 2026-07-21T02:19:20Z (adsbygoogle = window.adsbygoogle || []).push({}); Senior Advisor, Partnerships, Beijing, China UNOPS - United Nations Office for Project..."
"CONSULTORÍA DISEÑO E IMPLEMENTACIÓN DEL ACUERDO DE PAZ Y MECANISMOS HABILITANTES, Bogota, Colombia","PAZ Y MECANISMOS HABILITANTES, Bogota, Colombia ECLAC - Economic Commission for Latin America and the Caribbean",Jobs,Information Technology,Colombia,"Bogota, Colombia",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593763889,"CONSULTORÍA DISEÑO E IMPLEMENTACIÓN DEL ACUERDO DE PAZ Y MECANISMOS HABILITANTES, Bogota, Colombia is an opportunity with PAZ Y MECANISMOS HABILITANTES, Bogota, Colombia ECLAC - Economic Commission for Latin America and the Caribbean. CONSULTORÍA DISEÑO E IMPLEMENTACIÓN DEL ACUERDO DE PAZ Y MECANISMOS HABILITANTES, Bogota, Colombia. PAZ Y MECANISMOS HABILITANTES, Bogota, Colombia ECLAC - Economic Commission for Latin..."
"ASSOCIATE COORDINATION OFFICER, Santo Domingo, Dominican Republic",inican Republic United Nations Support Office in Haiti (UNSOH),Internships,Communications,Dominican Republic,"Santo Domingo, Dominican Republic",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593792084,"ASSOCIATE COORDINATION OFFICER, Santo Domingo, Dominican Republic is an opportunity with inican Republic United Nations Support Office in Haiti (UNSOH). ASSOCIATE COORDINATION OFFICER, Santo Domingo, Dominican Republic. inican Republic United Nations Support Office in Haiti (UNSOH). en Amér, Santiago, Chile ECLAC - Economic Commission for Latin America and the Caribbean Updated: 2026-07-21T02:02:48Z ASSOCIATE COORDINATION..."
"Fund Raising Officer (Loyalty & Retention), Quito, Ecuador",Ecuador UNICEF - United Nations Children's Fund,Jobs,Education,Ecuador,"Quito, Ecuador",On-site,Not specified,2026-07-21,2026-07-21,UNjobs,https://unjobs.org/vacancies/1784593876371,"Fund Raising Officer (Loyalty & Retention), Quito, Ecuador is an opportunity with Ecuador UNICEF - United Nations Children's Fund. Fund Raising Officer (Loyalty & Retention), Quito, Ecuador. Ecuador UNICEF - United Nations Children's Fund. r, Kharkiv, Odessa Dnipro, Lviv, Kharkiv, Ukraine UNICEF - United Nations Children's Fund Updated: 2026-07-21T01:58:59Z Fund Raising Officer (Loyalty & Retention), Quito, Ecuador UNICEF..."
"Fund Raising Officer (Acquisition), Quito, Ecuador",UNICEF - United Nations Children's Fund,Internships,Education,Ecuador,"Quito, Ecuador",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593952725,"Fund Raising Officer (Acquisition), Quito, Ecuador is an opportunity with UNICEF - United Nations Children's Fund. Fund Raising Officer (Acquisition), Quito, Ecuador. UNICEF - United Nations Children's Fund. 01:57:00Z Education Specialist, Chisinau, Moldova UNICEF - United Nations Children's Fund Updated: 2026-07-21T01:56:38Z Fund Raising Officer (Acquisition), Quito, Ecuador UNICEF - United Nations Children's Fund..."
"Gerente de Proyecto CAAOCG y Asesor/a Senior Humanitario/a, Quito, Ecuador","itario/a, Quito, Ecuador Plan International",Internships,Information Technology,Ecuador,"Quito, Ecuador",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784565259252,"Gerente de Proyecto CAAOCG y Asesor/a Senior Humanitario/a, Quito, Ecuador is an opportunity with itario/a, Quito, Ecuador Plan International. Gerente de Proyecto CAAOCG y Asesor/a Senior Humanitario/a, Quito, Ecuador. itario/a, Quito, Ecuador Plan International. Finance and Accounting Officer (Mindanao), Cotabato City, Philippines Plan International Updated: 2026-07-21T02:34:10Z Gerente de Proyecto CAAOCG y Asesor/a..."
"Technical Vocational and Training Consultant Amman Jordan UNICEF Global Programme Division 9.5 months (remote), Education Section","Jordan UNICEF Global Programme Division 9.5 months (remote), Education Section UNICEF - United Nations Children's Fund",Internships,Agriculture,Education Section,Education Section,Remote,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593914673,"Technical Vocational and Training Consultant Amman Jordan UNICEF Global Programme Division 9.5 months (remote), Education Section is an opportunity with Jordan UNICEF Global Programme Division 9.5 months (remote), Education Section UNICEF - United Nations Children's Fund. Technical Vocational and Training Consultant Amman Jordan UNICEF Global Programme Division 9.5 months (remote), Education Section. Jordan UNICEF Global..."
"Local Agent - Water Sector Expert, Cairo, Egypt",European Investment Bank,Internships,Information Technology,Egypt,"Cairo, Egypt",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784568821074,"Local Agent - Water Sector Expert, Cairo, Egypt is an opportunity with European Investment Bank. Local Agent - Water Sector Expert, Cairo, Egypt. European Investment Bank. T02:29:48Z Trainee - Compliance & Non-Financial Risk, Luxembourg European Investment Bank Updated: 2026-07-21T02:26:24Z Local Agent - Water Sector Expert, Cairo, Egypt European Investment Bank Updated: 2026-07-21T02:26:02Z (adsbygoogle =..."
"Planning Monitoring & Evaluation Specialist, Addis Ababa, Ethiopia","Ababa, Ethiopia UNICEF - United Nations Children's Fund",Jobs,Education,Ethiopia,"Addis Ababa, Ethiopia",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593822297,"Planning Monitoring & Evaluation Specialist, Addis Ababa, Ethiopia is an opportunity with Ababa, Ethiopia UNICEF - United Nations Children's Fund. Planning Monitoring & Evaluation Specialist, Addis Ababa, Ethiopia. Ababa, Ethiopia UNICEF - United Nations Children's Fund. -07-21T02:01:03Z Chief Education, Beirut, Lebanon UNICEF - United Nations Children's Fund Updated: 2026-07-21T02:00:41Z Planning Monitoring & Evaluation..."
"N4H Pacific Regional Systems Thinking Consultant, Suva, Fiji","Suva, Fiji UNEP - United Nations Environment Programme",Internships,Business & Finance,Fiji,"Suva, Fiji",On-site,Not specified,2026-07-21,2026-07-21,UNjobs,https://unjobs.org/vacancies/1784593775642,"N4H Pacific Regional Systems Thinking Consultant, Suva, Fiji is an opportunity with Suva, Fiji UNEP - United Nations Environment Programme. N4H Pacific Regional Systems Thinking Consultant, Suva, Fiji. Suva, Fiji UNEP - United Nations Environment Programme. Engagement Outreach Materials, Nairobi, Kenya UNEP - United Nations Environment Programme Updated: 2026-07-21T02:06:46Z N4H Pacific Regional Systems Thinking..."
"Construction Officer, Suva, Fiji",UNICEF - United Nations Children's Fund,Jobs,Education,Fiji,"Suva, Fiji",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784539457191,"Construction Officer, Suva, Fiji is an opportunity with UNICEF - United Nations Children's Fund. Construction Officer, Suva, Fiji. UNICEF - United Nations Children's Fund. NICEF - United Nations Children's Fund Updated: 2026-07-21T07:12:13Z (adsbygoogle = window.adsbygoogle || []).push({}); Construction Officer, Suva, Fiji UNICEF - United Nations Children's Fund Updated: 2026-07-21T07:11:28Z Contracts Manager P-4 Fixed..."
"Programme Management Assistant, Paris, France",UNEP - United Nations Environment Programme,Tenders / Consultancies,Business & Finance,France,"Paris, France",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593771277,"Programme Management Assistant, Paris, France is an opportunity with UNEP - United Nations Environment Programme. Programme Management Assistant, Paris, France. UNEP - United Nations Environment Programme. et Research & Strategy, New York, United States DGC - Department of Global Communications Updated: 2026-07-21T02:07:50Z Programme Management Assistant, Paris, France UNEP - United Nations Environment Programme Updated..."
"Intern, Executive, Strategy & UN Affairs team, Intersection of AI and Climate Change, Bonn, Germany","ersection of AI and Climate Change, Bonn, Germany UNFCCC - United Nations Framework Convention on Climate Change",Internships,Information Technology,Germany,"Bonn, Germany",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784560593953,"Intern, Executive, Strategy & UN Affairs team, Intersection of AI and Climate Change, Bonn, Germany is an opportunity with ersection of AI and Climate Change, Bonn, Germany UNFCCC - United Nations Framework Convention on Climate Change. Intern, Executive, Strategy & UN Affairs team, Intersection of AI and Climate Change, Bonn, Germany. ersection of AI and Climate Change, Bonn, Germany UNFCCC - United Nations Framework..."
"Study - Conservation priorities for sharks and rays in Oceania, Bonn, Germany","s in Oceania, Bonn, Germany UNEP - United Nations Environment Programme",Jobs,Information Technology,Germany,"Bonn, Germany",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593759965,"Study - Conservation priorities for sharks and rays in Oceania, Bonn, Germany is an opportunity with s in Oceania, Bonn, Germany UNEP - United Nations Environment Programme. Study - Conservation priorities for sharks and rays in Oceania, Bonn, Germany. s in Oceania, Bonn, Germany UNEP - United Nations Environment Programme. ) - Senior Advisor, Home based, Remote UNOPS - United Nations Office for Project Services Updated..."
"Administrative Assistant I, Shibuya, Japan",United Nations University (UNU),Jobs,Education,Japan,"Shibuya, Japan",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784560831140,"Administrative Assistant I, Shibuya, Japan is an opportunity with United Nations University (UNU). Administrative Assistant I, Shibuya, Japan. United Nations University (UNU). -21T07:26:42Z Administrative Assistant II, Shibuya, Japan United Nations University (UNU) Updated: 2026-07-21T07:19:59Z Administrative Assistant I, Shibuya, Japan United Nations University (UNU) Updated: 2026-07-21T07:19:19Z Pesticide Regulatory..."
"EXECUTIVE ASSISTANT, Amman, Jordan",RCS - Resident Coordinator System,Internships,Information Technology,Jordan,"Amman, Jordan",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593784038,"EXECUTIVE ASSISTANT, Amman, Jordan is an opportunity with RCS - Resident Coordinator System. EXECUTIVE ASSISTANT, Amman, Jordan. RCS - Resident Coordinator System. ate Specialist, Geneva, Switzerland Independent Investigative Mechanism on Myanmar (IIMM) Updated: 2026-07-21T02:04:35Z EXECUTIVE ASSISTANT, Amman, Jordan RCS - Resident Coordinator System Updated: 2026-07-21T02:04:15Z (adsbygoogle = window.adsbygoogle ||..."
"Monitoring & Evaluation Intern, Nairobi, Kenya",UN-Habitat - United Nations Human Settlements Programme,Internships,Communications,Kenya,"Nairobi, Kenya",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784539342799,"Monitoring & Evaluation Intern, Nairobi, Kenya is an opportunity with UN-Habitat - United Nations Human Settlements Programme. Monitoring & Evaluation Intern, Nairobi, Kenya. UN-Habitat - United Nations Human Settlements Programme. ed Nations Office for Project Services Updated: 2026-07-20T11:01:37Z (adsbygoogle = window.adsbygoogle || []).push({}); Monitoring & Evaluation Intern, Nairobi, Kenya UN-Habitat - United Nations..."
"Web Developer, Nairobi, Kenya",UNEP - United Nations Environment Programme,Jobs,Information Technology,Kenya,"Nairobi, Kenya",On-site,Not specified,2026-07-21,,UNjobs,https://unjobs.org/vacancies/1784593762246,"Web Developer, Nairobi, Kenya is an opportunity with UNEP - United Nations Environment Programme. Web Developer, Nairobi, Kenya. UNEP - United Nations Environment Programme. for sharks and rays in Oceania, Bonn, Germany UNEP - United Nations Environment Programme Updated: 2026-07-21T02:09:54Z Web Developer, Nairobi, Kenya UNEP - United Nations Environment Programme Updated: 2026-07-21T02:09:34Z CONSULTORÍA DISEÑO E..."
