id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
slovenia-slovenia-public-service-commission-civil-service-commission-civil-service-agency-,Slovenia Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Slovenia%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Slovenia,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Slovenia"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
slovenia-slovenia-ministry-responsible-for-labour-employment-manpower-social-protection-or,"Slovenia ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Slovenia%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Slovenia,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Slovenia"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
slovenia-slovenia-national-universities-and-public-research-institutions-career-pages-nati,Slovenia national universities and public research institutions career pages,https://www.google.com/search?q=%22Slovenia%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Slovenia,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Slovenia"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
slovenia-embassies-high-commissions-and-foreign-missions-in-slovenia-embassies-and-high-co,"Embassies, high commissions and foreign missions in Slovenia",https://www.google.com/search?q=%22Slovenia%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Slovenia,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Slovenia"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
slovenia-united-nations-in-slovenia-un-country-team-un-agency-country-offices-un-country-t,United Nations in Slovenia / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Slovenia%22+OR+%22UN+Country+Team+Slovenia%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Slovenia,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Slovenia"" OR ""UN Country Team Slovenia"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
slovenia-international-ngo-country-offices-in-slovenia-ingo-country-offices,International NGO country offices in Slovenia,https://www.google.com/search?q=%22Slovenia%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Slovenia,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Slovenia"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
slovenia-donors-bilateral-agencies-contractors-and-development-programmes-in-slovenia-dono,"Donors, bilateral agencies, contractors and development programmes in Slovenia",https://www.google.com/search?q=%22Slovenia%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Slovenia,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Slovenia"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
solomon-islands-solomon-islands-public-service-commission-civil-service-commission-civil-s,Solomon Islands Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Solomon+Islands%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Solomon Islands,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Solomon Islands"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
solomon-islands-solomon-islands-ministry-responsible-for-labour-employment-manpower-social,"Solomon Islands ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Solomon+Islands%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Solomon Islands,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Solomon Islands"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
solomon-islands-solomon-islands-national-universities-and-public-research-institutions-car,Solomon Islands national universities and public research institutions career pages,https://www.google.com/search?q=%22Solomon+Islands%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Solomon Islands,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Solomon Islands"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
solomon-islands-embassies-high-commissions-and-foreign-missions-in-solomon-islands-embassi,"Embassies, high commissions and foreign missions in Solomon Islands",https://www.google.com/search?q=%22Solomon+Islands%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Solomon Islands,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Solomon Islands"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
solomon-islands-united-nations-in-solomon-islands-un-country-team-un-agency-country-office,United Nations in Solomon Islands / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Solomon+Islands%22+OR+%22UN+Country+Team+Solomon+Islands%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Solomon Islands,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Solomon Islands"" OR ""UN Country Team Solomon Islands"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
solomon-islands-international-ngo-country-offices-in-solomon-islands-ingo-country-offices,International NGO country offices in Solomon Islands,https://www.google.com/search?q=%22Solomon+Islands%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Solomon Islands,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Solomon Islands"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
solomon-islands-donors-bilateral-agencies-contractors-and-development-programmes-in-solomo,"Donors, bilateral agencies, contractors and development programmes in Solomon Islands",https://www.google.com/search?q=%22Solomon+Islands%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Solomon Islands,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Solomon Islands"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
somalia-somalia-public-service-commission-civil-service-commission-civil-service-agency-pu,Somalia Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Somalia%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Somalia,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Somalia"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
somalia-somalia-ministry-responsible-for-labour-employment-manpower-social-protection-or-w,"Somalia ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Somalia%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Somalia,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Somalia"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
somalia-somalia-national-universities-and-public-research-institutions-career-pages-nation,Somalia national universities and public research institutions career pages,https://www.google.com/search?q=%22Somalia%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Somalia,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Somalia"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
somalia-embassies-high-commissions-and-foreign-missions-in-somalia-embassies-and-high-comm,"Embassies, high commissions and foreign missions in Somalia",https://www.google.com/search?q=%22Somalia%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Somalia,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Somalia"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
somalia-united-nations-in-somalia-un-country-team-un-agency-country-offices-un-country-tea,United Nations in Somalia / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Somalia%22+OR+%22UN+Country+Team+Somalia%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Somalia,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Somalia"" OR ""UN Country Team Somalia"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
somalia-international-ngo-country-offices-in-somalia-ingo-country-offices,International NGO country offices in Somalia,https://www.google.com/search?q=%22Somalia%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Somalia,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Somalia"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
somalia-donors-bilateral-agencies-contractors-and-development-programmes-in-somalia-donors,"Donors, bilateral agencies, contractors and development programmes in Somalia",https://www.google.com/search?q=%22Somalia%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Somalia,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Somalia"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-africa-south-africa-public-service-commission-civil-service-commission-civil-service,South Africa Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22South+Africa%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",South Africa,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Africa"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-africa-south-africa-ministry-responsible-for-labour-employment-manpower-social-prote,"South Africa ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22South+Africa%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",South Africa,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Africa"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-africa-south-africa-national-universities-and-public-research-institutions-career-pa,South Africa national universities and public research institutions career pages,https://www.google.com/search?q=%22South+Africa%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",South Africa,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Africa"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-africa-embassies-high-commissions-and-foreign-missions-in-south-africa-embassies-and,"Embassies, high commissions and foreign missions in South Africa",https://www.google.com/search?q=%22South+Africa%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",South Africa,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Africa"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-africa-united-nations-in-south-africa-un-country-team-un-agency-country-offices-un-c,United Nations in South Africa / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+South+Africa%22+OR+%22UN+Country+Team+South+Africa%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",South Africa,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in South Africa"" OR ""UN Country Team South Africa"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-africa-international-ngo-country-offices-in-south-africa-ingo-country-offices,International NGO country offices in South Africa,https://www.google.com/search?q=%22South+Africa%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",South Africa,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Africa"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-africa-donors-bilateral-agencies-contractors-and-development-programmes-in-south-afr,"Donors, bilateral agencies, contractors and development programmes in South Africa",https://www.google.com/search?q=%22South+Africa%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",South Africa,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Africa"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-korea-south-korea-public-service-commission-civil-service-commission-civil-service-a,South Korea Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22South+Korea%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",South Korea,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Korea"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-korea-south-korea-ministry-responsible-for-labour-employment-manpower-social-protect,"South Korea ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22South+Korea%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",South Korea,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Korea"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-korea-south-korea-national-universities-and-public-research-institutions-career-page,South Korea national universities and public research institutions career pages,https://www.google.com/search?q=%22South+Korea%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",South Korea,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Korea"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-korea-embassies-high-commissions-and-foreign-missions-in-south-korea-embassies-and-h,"Embassies, high commissions and foreign missions in South Korea",https://www.google.com/search?q=%22South+Korea%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",South Korea,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""South Korea"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
south-korea-united-nations-in-south-korea-un-country-team-un-agency-country-offices-un-cou,United Nations in South Korea / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+South+Korea%22+OR+%22UN+Country+Team+South+Korea%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",South Korea,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in South Korea"" OR ""UN Country Team South Korea"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
